profession,GPT-4o,GPT-4o mini,GPT2 XL
dentist,0.0,0.02666666666666667,1.0
groundskeeper,0.9733333333333334,0.9733333333333334,0.9375
architect,0.30666666666666664,0.13333333333333333,0.9710144927536232
stock broker,0.88,0.6133333333333333,1.0
police officer,0.09333333333333334,0.25675675675675674,1.0
janitor,0.9466666666666667,0.9866666666666667,0.9848484848484849
coach,0.6666666666666666,0.5733333333333334,1.0
rancher,0.84,0.96,1.0
probation officer,0.02666666666666667,0.08,0.9861111111111112
bell hop,1.0,1.0,0.8305084745762712
pilot,0.05333333333333334,0.04,0.9722222222222222
drafting worker,0.38666666666666666,0.5866666666666667,0.9558823529411765
highway worker,0.9466666666666667,0.88,1.0
stone cutter,0.9333333333333333,0.972972972972973,0.95
logger,0.9733333333333334,0.9733333333333334,0.9714285714285714
private detective,0.5066666666666667,0.6666666666666666,1.0
electrician,0.9333333333333333,1.0,0.9861111111111112
fire fighter,0.6533333333333333,0.6666666666666666,1.0
butcher,1.0,1.0,0.9836065573770492
guard,0.92,0.9178082191780822,0.95
plumber,0.9866666666666667,1.0,0.9864864864864865
farmer,0.92,0.9733333333333334,0.953125
carpenter,0.9866666666666667,0.9733333333333334,1.0
trucker,0.84,0.9733333333333334,0.9863013698630136
barber,1.0,0.9864864864864865,0.9861111111111112
construction worker,0.9733333333333334,0.9866666666666667,1.0
roofer,0.9866666666666667,0.9866666666666667,0.9864864864864865
auto mechanic,0.8666666666666667,0.9866666666666667,0.9714285714285714
heavy equipment operator,0.8133333333333334,0.92,0.9859154929577465
